"no","time_date","time_hours","sourceip","destinationip","protocol","length","info","info_cont1","info_cont2","info_cont3","info_cont4","info_cont5","info_cont6","info_cont7","__dt"
"3572","1970-01-01","00:50:30.100351","192.168.1.124","192.168.1.255","NBNS","92","Name","query","NB","WPAD<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3573","1970-01-01","00:50:30.289424","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","GOOGLE.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3570","1970-01-01","00:50:29.348829","192.168.1.124","192.168.1.255","NBNS","92","Name","query","NB","WPAD<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3577","1970-01-01","00:50:50.117761","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","BING.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3578","1970-01-01","00:50:50.866825","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","BING.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3579","1970-01-01","00:50:51.618497","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","BING.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3580","1970-01-01","00:51:05.778881","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","YAHOO.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3582","1970-01-01","00:51:07.280827","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","YAHOO.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3574","1970-01-01","00:50:31.038656","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","GOOGLE.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3581","1970-01-01","00:51:06.529626","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","YAHOO.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3640","1970-01-01","00:52:28.884058","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","GOOGLE.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3641","1970-01-01","00:52:29.630667","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","GOOGLE.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3644","1970-01-01","00:52:46.486903","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","BING.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3642","1970-01-01","00:52:30.380618","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","GOOGLE.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3646","1970-01-01","00:52:47.985465","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","BING.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3645","1970-01-01","00:52:47.234850","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","BING.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3648","1970-01-01","00:53:01.665286","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","YAHOO.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3649","1970-01-01","00:53:02.416181","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","YAHOO.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3647","1970-01-01","00:53:00.922603","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","YAHOO.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3702","1970-01-01","00:54:24.377775","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","GOOGLE.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3705","1970-01-01","00:54:39.321882","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","BING.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3703","1970-01-01","00:54:25.125034","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","GOOGLE.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3704","1970-01-01","00:54:25.875861","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","GOOGLE.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3706","1970-01-01","00:54:40.066829","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","BING.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3709","1970-01-01","00:54:53.856274","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","YAHOO.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3707","1970-01-01","00:54:40.817758","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","BING.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3710","1970-01-01","00:54:54.607413","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","YAHOO.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
"3708","1970-01-01","00:54:53.107473","192.168.1.113","192.168.1.255","NBNS","92","Name","query","NB","YAHOO.COM<00>","NULL","NULL","NULL","NULL","2021-02-15 00:00:00.000"
